Date,Station,Daily_MAX_AQI,Daily_MEDIAN_AQI
22-12-2018,Sirifort,500,440
23-12-2018,Sirifort,500,473.5
24-12-2018,Sirifort,500,494.5
25-12-2018,Sirifort,500,443.5
26-12-2018,Sirifort,500,396
27-12-2018,Sirifort,500,443
28-12-2018,Sirifort,500,421
29-12-2018,Sirifort,500,371
30-12-2018,Sirifort,500,445.5
31-12-2018,Sirifort,500,483.5
01-01-2019,Sirifort,500,430.5
02-01-2019,Sirifort,500,468
03-01-2019,Sirifort,500,470.5
04-01-2019,Sirifort,500,423
05-01-2019,Sirifort,500,418.5
06-01-2019,Sirifort,481,346
07-01-2019,Sirifort,439,355
08-01-2019,Sirifort,431,352
09-01-2019,Sirifort,406,327
10-01-2019,Sirifort,487,340
11-01-2019,Sirifort,500,430
12-01-2019,Sirifort,500,448
13-01-2019,Sirifort,478,433
14-01-2019,Sirifort,388,211
15-01-2019,Sirifort,439,233.5
16-01-2019,Sirifort,500,392
17-01-2019,Sirifort,500,485.5
18-01-2019,Sirifort,490,408
19-01-2019,Sirifort,500,408
20-01-2019,Sirifort,500,452.5
21-01-2019,Sirifort,500,341.5
22-01-2019,Sirifort,167,105
23-01-2019,Sirifort,369,293.5
24-01-2019,Sirifort,425,288
25-01-2019,Sirifort,315,142.5
26-01-2019,Sirifort,339,260
27-01-2019,Sirifort,424,305.5
28-01-2019,Sirifort,369,304
29-01-2019,Sirifort,500,321.5
30-01-2019,Sirifort,500,410
31-01-2019,Sirifort,493,368
01-02-2019,Sirifort,456,338.5
02-02-2019,Sirifort,385,355
03-02-2019,Sirifort,412,311
04-02-2019,Sirifort,500,316.5
05-02-2019,Sirifort,500,430
06-02-2019,Sirifort,470,362
07-02-2019,Sirifort,305,133.5
08-02-2019,Sirifort,243,162
09-02-2019,Sirifort,406,152
10-02-2019,Sirifort,478,342
11-02-2019,Sirifort,500,407.5
12-02-2019,Sirifort,500,376
13-02-2019,Sirifort,500,410.5
14-02-2019,Sirifort,406,321.5
15-02-2019,Sirifort,372,252.5
16-02-2019,Sirifort,335,285.5
17-02-2019,Sirifort,335,303
18-02-2019,Sirifort,385,268.5
19-02-2019,Sirifort,462,258.5
20-02-2019,Sirifort,424,169
21-02-2019,Sirifort,422,157.5
22-02-2019,Sirifort,402,155
23-02-2019,Sirifort,251,139
24-02-2019,Sirifort,418,237.5
25-02-2019,Sirifort,413,300
26-02-2019,Sirifort,247,140.5
27-02-2019,Sirifort,368,122.5
28-02-2019,Sirifort,409,182.5
01-03-2019,Sirifort,454,256
02-03-2019,Sirifort,500,236
03-03-2019,Sirifort,187,111
04-03-2019,Sirifort,353,308.5
05-03-2019,Sirifort,439,145
06-03-2019,Sirifort,500,222
07-03-2019,Sirifort,479,292
08-03-2019,Sirifort,500,254.5
09-03-2019,Sirifort,332,186
10-03-2019,Sirifort,464,187.5
11-03-2019,Sirifort,426,179
12-03-2019,Sirifort,339,141
13-03-2019,Sirifort,500,297
14-03-2019,Sirifort,446,311.5
15-03-2019,Sirifort,351,181
16-03-2019,Sirifort,405,164
17-03-2019,Sirifort,490,224.5
18-03-2019,Sirifort,477,229
19-03-2019,Sirifort,500,317
20-03-2019,Sirifort,500,426.5
21-03-2019,Sirifort,395,318
22-03-2019,Sirifort,449,169.5
23-03-2019,Sirifort,301,173
24-03-2019,Sirifort,323,173
25-03-2019,Sirifort,421,262.5
26-03-2019,Sirifort,469,221
27-03-2019,Sirifort,500,330
28-03-2019,Sirifort,500,306.5
29-03-2019,Sirifort,500,368
30-03-2019,Sirifort,478,408
31-03-2019,Sirifort,436,198.5
01-04-2019,Sirifort,364,223
02-04-2019,Sirifort,423,243
03-04-2019,Sirifort,500,244
04-04-2019,Sirifort,500,336
05-04-2019,Sirifort,500,342.5
06-04-2019,Sirifort,500,345
07-04-2019,Sirifort,500,318.5
08-04-2019,Sirifort,465,211
09-04-2019,Sirifort,425,206
10-04-2019,Sirifort,447,307.5
11-04-2019,Sirifort,362,203
12-04-2019,Sirifort,434,254.5
13-04-2019,Sirifort,500,189
14-04-2019,Sirifort,416,152
15-04-2019,Sirifort,500,298
16-04-2019,Sirifort,500,171
17-04-2019,Sirifort,444,100.5
18-04-2019,Sirifort,449,154.5
19-04-2019,Sirifort,423,181
20-04-2019,Sirifort,500,254.5
21-04-2019,Sirifort,384,216.5
22-04-2019,Sirifort,0,#NUM!
23-04-2019,Sirifort,0,#NUM!
24-04-2019,Sirifort,0,#NUM!
25-04-2019,Sirifort,0,#NUM!
26-04-2019,Sirifort,0,#NUM!
27-04-2019,Sirifort,444,337
28-04-2019,Sirifort,488,264
29-04-2019,Sirifort,497,246
30-04-2019,Sirifort,438,274.5
01-05-2019,Sirifort,500,377
02-05-2019,Sirifort,405,279
03-05-2019,Sirifort,459,167
04-05-2019,Sirifort,361,182
05-05-2019,Sirifort,432,298.5
06-05-2019,Sirifort,429,299.5
07-05-2019,Sirifort,500,420.5
08-05-2019,Sirifort,500,330.5
09-05-2019,Sirifort,500,403.5
10-05-2019,Sirifort,452,288.5
11-05-2019,Sirifort,442,283.5
12-05-2019,Sirifort,500,369
13-05-2019,Sirifort,500,350.5
14-05-2019,Sirifort,202,140.5
15-05-2019,Sirifort,318,195.5
16-05-2019,Sirifort,455,183
17-05-2019,Sirifort,476,211.5
18-05-2019,Sirifort,226,130.5
19-05-2019,Sirifort,312,272
20-05-2019,Sirifort,392,235.5
